"","LessonId","Submitter1","Title","Abstract","Lesson","Organization","LessonDate","MissionDirectorate","SafetyIssue","Categories","DocNum","Topic","Category","url"
"1",9501,"Bell, Michael ","Manhole Arc-Flash Risk Reduction","  Power system distribution at Kennedy Space Center (KSC) consists primarily of high-voltage, underground cables. These cables include approximately 5000 splices.¾ Splice failures result in arc flash events that are extremely hazardous to personnel in the vicinity of the arc flash. Some construction and maintenance tasks cannot be performed effectively in the required personal protective equipment (PPE), and de-energizing the cables is not feasible due to cost, lost productivity, and safety risk to others implementing the required outages. To verify alternate and effective mitigations, arc flash testing was conducted in a controlled environment. The arc flash effects were greater than expected. Testing also demonstrated the addition of neutral grounding resistors (NGRs) would result in substantial reductions to arc flash effects. As a result, NGRs are being installed on KSC primary substation transformers. The presence of the NGRs, enable usage of less cumbersome PPE and increase the","  Laboratory testing revealed higher than anticipated safety risks from a potential arc-flash event in a manhole environment when conducted at KSCês unreduced fault current levels.¾ The safety risks included bright flash, excessive sound, and smoke.¾¾ Due to these findings and absence of other mitigations installed at the time, manhole entries require full arc-flash PPE.¾ Furthermore, manhole entries were temporarily restricted to short duration inspections until further mitigations could be implemented.¾ With installation of neutral grounding resistors (NGRs) on substation transformers, the flash, sound and flame energy was reduced.¾ The hazard reduction was so substantial that the required PPE would be less cumbersome and enable effective performance of maintenance tasks in the energized configuration.¾  
  With the NGR installed, the surge arresters currently used at KSC are not designed for the load and may fail during a fault causing secondary outages and increasing repair times.¾ Replacement of the surge arresters will be conducted over 2-3 years due to the resulting hundreds of facility outages and impacts. Until the surge suppressors are upgraded, the NGRs would only be used during manhole construction and maintenance operations in an approved outage period. ","KSC",2014-06-06,"Aeronautics Research, Human Exploration and Operations, Science, Space Technology, ",TRUE,"Energy, Facilities, Industrial Operations, Personal Protective Equipment, Risk Management / Assessment, Ground support systems, Maintenance, ",1,22,"Energy","https://nen.nasa.gov/web/11/viewall/-/viewall/9501"
"2",8018,"Bell, Michael ","CRCA Sampling Process Lessons Learned","  The sampling and analysis processes, used to verify cleanliness of gases and liquids loaded into payloads and related Ground Support Equipment (GSE), were introducing an unacceptable level of process induced contamination. The process induced contamination often necessitated multiple resampling and extensive analyses to develop confidence of clean commodity. ","  The particle contamination monitoring was insufficient to provide meaningful feedback to ensure operating protocols were successful in maintaining cleanliness levels.¾ ","KSC",2014-03-11,"Human Exploration and Operations, ",FALSE,"",2,18,NA,"https://nen.nasa.gov/web/11/viewall/-/viewall/8018"
"3",8701,"Oberhettinger, David ","Take Special Care to Avoid Misprobing When Using Breakout Boxes","  An operator error involving mis-probing during a safe-to-mate procedure, in which a breakout box (BOB) was used, resulted in a short circuit and a blown fuse. Patching or probing of electrical connections to sensitive hardware that involve a BOB should be done with extreme care after double-checking the BOB connections. ","  The common use of BOBs during subsystem/system integration and test does much to facilitate hardware checkout and test procedures, but the BOBs also expose developmental hardware or spaceflight hardware to an additional risk of test-induced damage. ","JPL",2014-02-18,"Aeronautics Research, Human Exploration and Operations, Science, Space Technology, ",TRUE,"Integration and Testing, Safety and Mission Assurance, Ground Equipment, Ground Operations, Hardware, Payloads, Safety & Mission Assurance, Spacecraft, Test & Verification, Quality, ",3,31,"Integration and Testing","https://nen.nasa.gov/web/11/viewall/-/viewall/8701"
"4",8017,"Bell, Michael ","Using Heritage Equipment From Uncontrolled Sources - Incompatible Boss Seal","  The Restore Project obtained excessed equipment from the Space Shuttle Program and used this heritage equipment in a test setup.¾ The equipment was marked and tagged for Nitrogen Tetroxide (N<sub>2</sub>O<sub>4</sub>) service.¾ During testing, a leak occurred because one piece of the equipment had a seal installed that was incompatible with N<sub>2</sub>O<sub>4</sub>.¾ The project should have required additional inspection and seal replacement for this equipment, which was obtained from excess. Programs or Projects using legacy heritage equipment from another Project or Program should implement a –trust but verify” strategy towards legacy equipment.¾ ","  Implement a –trust but verify” philosophy when using components and assemblies obtained from uncontrolled sources such as excessed components and assemblies.¾ The Project should imposed rules requiring disassembly, inspection and seal replacement in assemblies acquired from uncontrolled sources. ","KSC",2014-01-21,"Human Exploration and Operations, ",FALSE,"Integration and Testing, ",4,8,"Integration and Testing","https://nen.nasa.gov/web/11/viewall/-/viewall/8017"
"5",8601,"Oberhettinger, David ","Reflight of Spacecraft Designs May be Inhibited by Inadequate Capture of Design Knowledge","  The JPL focus on primarily one-of-a-kind flight systems and missions may result in insufficient priority placed on design documentation and mission-centric knowledge retention. The OCO-2 project found the inherited Orbiting Carbon Observatory design to be poorly documented. Assure that the spaceflight project retains the design knowledge needed to duplicate a system design. Train employees at all levels to recognize the value of project-generated knowledge and to champion its retention, sharing, and reuse. ","
    Reflight of a system design is becoming a more common JPL practice. For example, the Mars 2020 mission concept under study by NASA would duplicate the successful design of the Mars Science Laboratory (MSL) rover. (If the prospective Mars 2020 flight system is not designed as an exact copy of MSL, it would likely retain major MSL elements like the Descent Stage; Entry, Descent, and Landing (EDL) design; and Multi-Mission Radioisotope Thermoelectric Generator (MMRTG)). In addition, NASA is supporting the use of common spacecraft buses (e.g., LADEE, Cubesats) that will facilitate reflight of a standard flight system design.   
    
    The JPL focus on primarily one-of-a-kind flight systems and missions may result in insufficient priority placed on design documentation and mission-centric knowledge retention. However, much technical knowledge gained over the course of a JPL project is reusable, and the actual reflight of a spacecraft design is not uncommon (e.g., Mars Polar Lander/Mars Phoenix, Jason-1/Jason-2/Jason-3, OCO/OCO-2, Mars Science Laboratory/proposed Mars 2020 mission). Even modest efforts to husband technical knowledge may reduce the cost of future projects, even ones that are not planned as build-to-print, by making the knowledge reusable.   
  ","JPL",2013-12-03,"Aeronautics Research, Human Exploration and Operations, Science, ",FALSE,"Missions and Systems Requirements Definition, Program Management, Systems Engineering and Analysis, Flight Equipment, Hardware, Payloads, Spacecraft, Spacecraft and Spacecraft Instruments, Configuration control and data management, Configuration and data management, Engineering design and project processes and standards, ",5,26,"Missions and Systems Requirements Definition","https://nen.nasa.gov/web/11/viewall/-/viewall/8601"
"6",8016,"Unknown","Residual Oxidizer in Flex Tubing High Visibility Close Call","  Three employees were exposed and two additional employees were potentially exposed to hypergolic oxidizer Nitrogen Tetroxide/Nitrogen Dioxide (N2O4/NO2) and experienced some degree of nasal and/or skin irritation. The hypergolic oxidizer leaked from a flex hose (F/H), one of 12 Hypergolic Propellant Servicing System (HPSS) F/Hs at the Water Waste Support Building (WWSB) outdoor storage area located in the KSC Industrial Area. ","  Clean up technicians were unaware of the contaminated hypergolic flex hose and were not the correct personnel to be performing the pickup. ","KSC",2013-10-18,"Human Exploration and Operations, ",FALSE,"Mission Operations and Ground Support Systems, Safety and Mission Assurance, Disposal, Hazardous / Toxic Waste / Materials, Advanced planning of safety systems, Early requirements and standards definition, Maintenance, ",6,16,"Mission Operations and Ground Support Systems","https://nen.nasa.gov/web/11/viewall/-/viewall/8016"
"7",8501,"Oberhettinger, David ","Verify That Test Equipment Cannot be Interrupted by Extraneous Computer Processes","  Thermal-vacuum testing of a Ka-side frequency multiplier for the Juno Small Deep Space Transponder (SDST) was interrupted in mid-performance when a desktop computer running the test unexpectedly sought to download an update of an installed software package. While the flight hardware and test equipment were not harmed, eight hours of test data were lost. Verify that test support equipment critical to tests or experiments cannot be interrupted by extraneous computer processes or external commands. ","  Many computers used for specialized purposes in test facilities are general purpose computers that may also be configured to perform office functions. Processes extraneous to flight system testing (e.g., code updates, scheduled file backups, e-mail downloads, and security scans) may occur intermittently on these units without user interaction or knowledge, particularly when they are connected to institutional networks. Should an extraneous process interrupt an active test, significant test time may be lost and the test article or support equipment may be damaged. ","JPL",2013-10-15,"Human Exploration and Operations, Science, ",TRUE,"Integration and Testing, Computers, Configuration Management, Facilities, Ground Equipment, Ground Operations, Hardware, Information Technology / Systems, Software, Spacecraft, Test & Verification, Test Facility, Advanced planning of safety systems, ",7,30,"Integration and Testing","https://nen.nasa.gov/web/11/viewall/-/viewall/8501"
"8",8403,"Oberhettinger, David ","Proper Use of MIL-A-8625 Type II Anodize on 2000 &amp; 7000 Series Aluminum Alloys","  Following thermal-vacuum bakeout/testing, various Mars Science Laboratory aluminum parts exhibited flaking of the black anodize coating. The flaking was traced to a known problem with Type II anodization of 2000 and 7000 series aluminum alloys. Although these coating failures were not significant for MSL, contamination from such debris poses a potentially significant mission impact. Use of Type III anodize or paint instead of Type II anodization is recommended on series 2000 and 7000 aluminum. ","   
    Type II black anodization of aluminum is commonly performed by JPL and by industry to provide a durable coating for corrosion control or to minimize glint for cameras. Although anodizing aluminum alloys by this technique is usually successful, the compatibility of certain aluminum alloys with the Type II anodize process is unpredictable. Although the coating failures caused no damage to MSL, contamination from the resulting debris can potentially have serious mission consequences.   
    
    There is some evidence that factors such as exposure of the anodized surface to extreme low-side temperature cycles (e.g., to -130C), and the deep thermal cycling associated with planetary protection measures, may affect the tendency of the coating to spall. For component surfaces that experience relatively benign total thermal variations, or for missions that do not require planetary protection bakeout, it may be feasible to specify and deliver a reliable Type II black anodize coating on 2000 and 7000 series aluminum alloys for a given flight project.   
  ","JPL",2013-08-06,"Aeronautics Research, Human Exploration and Operations, Science, ",FALSE,"Flight Equipment, Hardware, Parts, Materials, & Processes, Payloads, Spacecraft, Spacecraft and Spacecraft Instruments, ",8,13,"Flight Equipment","https://nen.nasa.gov/web/11/viewall/-/viewall/8403"
"9",8402,"Oberhettinger, David ","Assure Flight Control Algorithms Can Cope With All Mission Phases","  An in-flight anomaly occurred because the Kepler battery charge control algorithm was not designed to cope with the changes in the roll rate that the spacecraft experienced, nor was the dynamic behavior of the spacecraft adequately modeled. Assure that flight control algorithms have adequate margin to deal with all mission phases and operational scenarios. ","  When designing flight control algorithms, such as battery control algorithms, the design must cover all phases of the mission, including post-separation detumble. For Kepler, this constituted a failure to (1) model dynamic spacecraft behavior during all operational phases so that they could impose the proper flow-down of requirements to the power system, and (2) test-as-you-fly and demonstrate margin. ","JPL",2013-07-23,"Human Exploration and Operations, Science, ",FALSE,"Flight Operations, Ground Equipment, Ground Operations, Software, Spacecraft, Power, Software Engineering, Spacecraft and Spacecraft Instruments, Level II/III requirements definition, Mission definition and planning, ",9,18,"Flight Operations","https://nen.nasa.gov/web/11/viewall/-/viewall/8402"
"10",8401,"Le, Minh ","Schedule Early Generation and Validation of Simulated Science Datasets","  The Orbiting Carbon Observatory project was unable to generate simulated science data that covered all critical operational modes, which impacted the completeness of system testing. Early in the project lifecycle, project management should define which science datasets, both simulated and captured, will be required for use during system testing. Project management should also require the Project Element Managers to collaborate in defining these needs. ","  Simulated science data is needed by multiple groups within a project team to test their respective SDPS elements. Even though the specific needs of each group may vary, a cooperative effort among the different groups may reduce the amount of time required to generate an adequately complete set of simulated data for system test. If the project fails to plan the timely generation of a complete set of simulated data, system testing may be unable to verify and validate all critical operational modes. ","JPL",2013-06-25,"Science, ",FALSE,"Integration and Testing, Program Management, Ground Equipment, Information Technology / Systems, Test & Verification, Ground support systems, Configuration control and data management, Science integration, ",10,28,"Integration and Testing","https://nen.nasa.gov/web/11/viewall/-/viewall/8401"
