Topic,Correlation,ToTopic
1,-0.10942068,2
1,-0.172433394,3
1,-0.101359385,4
1,-0.073014634,5
1,0.011660618,6
1,0.022303453,7
1,0.147146143,8
1,-0.074625826,9
1,0.136541223,10
1,-0.051743439,11
1,-0.118472746,12
1,0.013171978,13
1,-0.105761899,14
1,0.087370511,15
1,-0.095773936,16
1,-0.109265786,17
1,-0.068252838,18
1,0.11181457,19
1,0.143944927,20
1,0.004353746,21
1,-0.05384312,22
1,-0.038230525,23
1,0.025990231,24
1,0.107170916,25
1,-0.086329243,26
1,-0.001682685,27
1,-0.133789019,28
1,-0.051316969,29
1,0.066160749,30
1,-0.096388119,31
1,-0.115048253,32
1,0.009228765,33
1,-0.171134656,34
1,0.024165727,35
2,-0.10942068,1
2,-0.131822945,3
2,0.448549508,4
2,-0.071229282,5
2,0.139178628,6
2,-0.126212319,7
2,-0.284959806,8
2,0.003465411,9
2,-0.162426272,10
2,0.070849713,11
2,0.115386583,12
2,-0.235477053,13
2,-0.172587622,14
2,-0.034955736,15
2,0.057615214,16
2,-0.096525463,17
2,0.45912221,18
2,-0.219568558,19
2,-0.098368956,20
2,-0.15170555,21
2,-0.091711358,22
2,-0.121303859,23
2,-0.11631411,24
2,-0.158363617,25
2,-0.067757945,26
2,0.027198917,27
2,-0.20672171,28
2,0.354743478,29
2,-0.098752767,30
2,0.038236155,31
2,0.051606331,32
2,-0.06030233,33
2,-0.094245201,34
2,-0.031189592,35
3,-0.172433394,1
3,-0.131822945,2
3,0.008666259,4
3,-0.137696553,5
3,0.038851069,6
3,-0.163250562,7
3,-0.223088867,8
3,-0.054881649,9
3,-0.062153483,10
3,0.203119312,11
3,0.070782073,12
3,-0.13028601,13
3,0.135255916,14
3,-0.032639423,15
3,0.27213814,16
3,-0.12360296,17
3,-0.112275353,18
3,-0.09336038,19
3,-0.098436747,20
3,-0.079371999,21
3,-0.163319018,22
3,-0.01575209,23
3,-0.15561642,24
3,-0.116861948,25
3,-0.057723724,26
3,-0.102968985,27
3,-0.105546161,28
3,-0.037084955,29
3,-0.171194741,30
3,-0.026560097,31
3,0.05903841,32
3,-0.096537739,33
3,0.027752478,34
3,-0.198148114,35
4,-0.101359385,1
4,0.448549508,2
4,0.008666259,3
4,-0.042359535,5
4,0.1923624,6
4,-0.103373542,7
4,-0.040863996,8
4,-0.142992869,9
4,-0.171725934,10
4,0.141216334,11
4,-0.097197356,12
4,-0.068119748,13
4,0.064531759,14
4,-0.103518935,15
4,-0.034961517,16
4,0.094365451,17
4,0.118458459,18
4,-0.217638137,19
4,-0.161758073,20
4,-0.321752541,21
4,-0.163004324,22
4,0.09024214,23
4,-0.104127553,24
4,-0.140036385,25
4,-0.175427344,26
4,0.474958571,27
4,-0.227299542,28
4,0.119904294,29
4,-0.144073242,30
4,-0.156310552,31
4,-0.070088331,32
4,-0.162103367,33
4,-0.143776795,34
4,-0.044276831,35
5,-0.073014634,1
5,-0.071229282,2
5,-0.137696553,3
5,-0.042359535,4
5,0.089020966,6
5,-0.087183445,7
5,0.000281583,8
5,-0.137624933,9
5,-0.056542208,10
5,-0.084971654,11
5,-0.026681978,12
5,-0.194444397,13
5,-0.003903565,14
5,0.080206111,15
5,-0.154977074,16
5,0.175641451,17
5,0.015605608,18
